temp_c,temp_max_c,temp_min_c,rain_mm,wind_kmh,wind_gust_kmh,humidity,conditions,venue,date_str,lat,lon
20.0,25.5,16.0,0.0,38.2,0.0,70.5,Partially cloudy,Carrara,2013-09-01,-28.0067,153.3667
21.9,27.8,17.0,0.0,16.4,0.0,80.8,Partially cloudy,Gabba,2012-04-21,-27.4858,153.0381
22.8,26.8,17.5,0.0,34.2,49.3,66.8,Partially cloudy,S.C.G.,2019-03-29,-33.8917,151.2247
14.0,16.5,9.4,0.003,20.5,53.6,74.6,"Rain, Partially cloudy",M.C.G.,2020-06-20,-37.82,144.9834
13.2,15.9,9.9,3.171,18.4,33.8,88.3,"Rain, Partially cloudy",Adelaide Oval,2014-06-21,-34.9156,138.5961
11.0,13.6,8.8,2.012,38.2,0.0,74.8,"Rain, Partially cloudy",M.C.G.,2012-06-29,-37.82,144.9834
10.9,14.0,8.6,0.0,20.7,40.0,57.7,Partially cloudy,Adelaide Oval,2021-07-08,-34.9156,138.5961
11.1,14.1,9.0,0.0,11.6,23.8,76.3,Overcast,Docklands,2015-06-28,-37.8165,144.9475
11.9,17.4,6.5,0.129,13.9,26.6,72.8,"Rain, Partially cloudy",Perth Stadium,2025-07-19,-31.9512,115.8891
12.0,18.4,5.0,0.0,25.8,27.4,62.0,Clear,Carrara,2015-07-18,-28.0067,153.3667
7.4,14.6,2.0,0.001,18.4,0.0,65.5,"Rain, Partially cloudy",University of Tasmania Stadium,2012-04-29,-41.4281,147.1383
19.5,23.7,14.7,0.11,16.9,27.4,74.5,"Rain, Partially cloudy",Subiaco,2014-04-25,-31.9444,115.8308
17.7,21.6,14.4,0.036,10.7,20.9,84.0,"Rain, Partially cloudy",Docklands,2017-04-23,-37.8165,144.9475
7.3,10.2,3.5,0.786,20.9,38.9,88.3,"Rain, Partially cloudy",Bellerive Oval,2018-07-29,-42.8775,147.3764
10.2,13.6,7.1,1.689,15.1,46.1,66.4,"Rain, Partially cloudy",M.C.G.,2023-09-09,-37.82,144.9834
10.9,14.1,7.6,6.955,28.8,54.0,68.0,"Rain, Partially cloudy",M.C.G.,2023-06-18,-37.82,144.9834
16.1,17.9,13.9,33.41,33.2,53.6,89.4,"Rain, Partially cloudy",Carrara,2014-08-16,-28.0067,153.3667
12.7,15.6,9.9,19.339,36.6,87.1,74.5,"Rain, Partially cloudy",Perth Stadium,2025-08-03,-31.9512,115.8891
10.5,14.1,8.4,0.0,23.6,47.2,59.6,Partially cloudy,Docklands,2018-07-22,-37.8165,144.9475
11.0,13.8,8.9,0.047,27.2,0.0,78.7,"Rain, Overcast",M.C.G.,2012-05-27,-37.82,144.9834
12.3,18.7,5.2,0.004,23.8,27.4,80.0,"Rain, Partially cloudy",Perth Stadium,2020-08-01,-31.9512,115.8891
11.0,13.3,8.4,0.017,13.5,29.9,63.8,"Rain, Partially cloudy",Docklands,2016-05-29,-37.8165,144.9475
13.2,19.2,6.8,0.0,19.0,36.0,70.9,Partially cloudy,S.C.G.,2024-06-29,-33.8917,151.2247
19.1,25.7,13.9,0.003,21.2,38.9,71.1,Rain,Subiaco,2017-04-13,-31.9444,115.8308
19.1,25.5,13.7,0.0,19.2,41.8,59.7,Partially cloudy,Docklands,2022-04-15,-37.8165,144.9475
10.7,15.0,6.0,0.0,33.8,57.2,75.8,Partially cloudy,Docklands,2013-08-11,-37.8165,144.9475
17.0,19.2,15.3,3.441,18.5,42.8,78.8,"Rain, Partially cloudy",Docklands,2023-04-07,-37.8165,144.9475
10.3,12.9,7.4,2.366,28.4,40.7,87.2,"Rain, Partially cloudy",Docklands,2014-07-06,-37.8165,144.9475
16.0,22.9,10.0,0.0,18.1,23.0,64.3,Clear,Carrara,2017-07-29,-28.0067,153.3667
9.5,15.5,2.7,0.0,27.4,60.1,61.7,Partially cloudy,York Park,2023-05-21,-41.4281,147.1383
13.9,15.9,12.0,9.99,22.0,0.0,93.4,"Rain, Overcast",GMHBA Stadium,2013-06-01,-38.1581,144.3547
14.0,19.1,8.4,0.0,20.0,35.6,73.9,Partially cloudy,Docklands,2015-04-05,-37.8165,144.9475
20.8,26.1,17.7,0.195,20.0,29.9,79.0,"Rain, Partially cloudy",Sydney Showground,2016-04-30,-33.8447,151.0697
15.0,19.3,11.4,0.0,35.9,0.0,67.1,Partially cloudy,S.C.G.,2012-05-05,-33.8917,151.2247
19.2,23.7,14.3,0.417,29.7,54.4,58.0,"Rain, Partially cloudy",Docklands,2014-03-21,-37.8165,144.9475
18.7,26.0,12.1,0.0,9.4,24.5,68.1,Clear,Gabba,2021-08-21,-27.4858,153.0381
17.0,20.2,12.0,0.198,38.7,53.6,45.5,"Rain, Partially cloudy",Gabba,2014-05-03,-27.4858,153.0381
13.1,19.1,7.7,0.048,16.6,26.3,68.9,Rain,Adelaide Oval,2017-05-13,-34.9156,138.5961
14.6,17.9,10.8,0.0,38.3,55.4,49.1,Partially cloudy,S.C.G.,2012-06-22,-33.8917,151.2247
