game_id,year,round,roundname,date,localtime,venue,home_team,away_team,home_score,away_score,home_goals,home_behinds,away_goals,away_behinds,winner,is_final,is_grand_final
1612,2012,10,Round 10,2012-06-03 13:10:00,2012-06-03 13:10:00,Gabba,Brisbane Lions,West Coast,102,100,16,6,15,10,Brisbane Lions,0,0
1613,2012,10,Round 10,2012-06-03 15:15:00,2012-06-03 15:15:00,S.C.G.,Sydney,Western Bulldogs,132,40,20,12,5,10,Sydney,0,0
1614,2012,10,Round 10,2012-06-03 16:40:00,2012-06-03 16:40:00,M.C.G.,Collingwood,Gold Coast,149,52,23,11,7,10,Collingwood,0,0
1624,2012,11,Round 11,2012-06-08 19:50:00,2012-06-08 19:50:00,Docklands,Carlton,Geelong,85,97,11,19,14,13,Geelong,0,0
1625,2012,11,Round 11,2012-06-09 13:40:00,2012-06-09 13:40:00,M.C.G.,Richmond,Fremantle,66,78,9,12,12,6,Fremantle,0,0
1626,2012,11,Round 11,2012-06-09 16:40:00,2012-06-09 16:40:00,Carrara,Gold Coast,St Kilda,49,144,7,7,21,18,St Kilda,0,0
1627,2012,11,Round 11,2012-06-09 19:40:00,2012-06-09 19:40:00,Docklands,Essendon,Sydney,82,86,11,16,13,8,Sydney,0,0
1628,2012,11,Round 11,2012-06-10 16:40:00,2012-06-10 16:10:00,Football Park,Port Adelaide,Hawthorn,62,108,9,8,16,12,Hawthorn,0,0
1629,2012,11,Round 11,2012-06-11 15:15:00,2012-06-11 15:15:00,M.C.G.,Melbourne,Collingwood,87,129,13,9,19,15,Collingwood,0,0
1630,2012,12,Round 12,2012-06-14 19:40:00,2012-06-14 17:40:00,Subiaco,West Coast,Carlton,79,69,10,19,10,9,West Coast,0,0
1631,2012,12,Round 12,2012-06-15 20:40:00,2012-06-15 20:10:00,Football Park,Adelaide,St Kilda,115,111,17,13,16,15,Adelaide,0,0
1632,2012,12,Round 12,2012-06-16 14:10:00,2012-06-16 14:10:00,Sydney Showground,Greater Western Sydney,Richmond,74,86,12,2,11,20,Richmond,0,0
1633,2012,12,Round 12,2012-06-16 19:40:00,2012-06-16 19:40:00,Carrara,Gold Coast,North Melbourne,80,87,12,8,11,21,North Melbourne,0,0
1634,2012,12,Round 12,2012-06-17 13:10:00,2012-06-17 13:10:00,M.C.G.,Hawthorn,Brisbane Lions,135,70,19,21,11,4,Hawthorn,0,0
1644,2012,12,Round 12,2012-06-17 16:40:00,2012-06-17 16:40:00,Docklands,Western Bulldogs,Port Adelaide,95,57,13,17,8,9,Western Bulldogs,0,0
1645,2012,13,Round 13,2012-06-22 19:50:00,2012-06-22 19:50:00,S.C.G.,Sydney,Geelong,80,74,12,8,11,8,Sydney,0,0
1646,2012,13,Round 13,2012-06-23 13:40:00,2012-06-23 13:40:00,Docklands,Western Bulldogs,Brisbane Lions,56,114,7,14,18,6,Brisbane Lions,0,0
1647,2012,13,Round 13,2012-06-23 16:40:00,2012-06-23 16:40:00,M.C.G.,Collingwood,West Coast,85,82,12,13,12,10,Collingwood,0,0
1648,2012,13,Round 13,2012-06-23 19:40:00,2012-06-23 17:40:00,Subiaco,Fremantle,Essendon,89,113,14,5,17,11,Essendon,0,0
1649,2012,13,Round 13,2012-06-24 15:15:00,2012-06-24 15:15:00,M.C.G.,Melbourne,Greater Western Sydney,135,57,20,15,9,3,Melbourne,0,0
1650,2012,13,Round 13,2012-06-24 16:40:00,2012-06-24 16:40:00,Docklands,North Melbourne,Adelaide,121,89,17,19,13,11,North Melbourne,0,0
1651,2012,14,Round 14,2012-06-29 19:50:00,2012-06-29 19:50:00,M.C.G.,Carlton,Hawthorn,70,120,10,10,18,12,Hawthorn,0,0
1652,2012,14,Round 14,2012-06-30 13:45:00,2012-06-30 13:45:00,M.C.G.,Collingwood,Fremantle,107,78,15,17,12,6,Collingwood,0,0
1653,2012,14,Round 14,2012-06-30 14:10:00,2012-06-30 13:40:00,Football Park,Adelaide,Richmond,106,87,17,4,13,9,Adelaide,0,0
1654,2012,14,Round 14,2012-06-30 16:40:00,2012-06-30 14:40:00,Subiaco,West Coast,Gold Coast,166,40,25,16,5,10,West Coast,0,0
1665,2012,14,Round 14,2012-06-30 19:40:00,2012-06-30 19:40:00,Docklands,Essendon,Western Bulldogs,140,56,21,14,8,8,Essendon,0,0
1666,2012,14,Round 14,2012-06-30 19:40:00,2012-06-30 19:40:00,Stadium Australia,Sydney,Greater Western Sydney,132,38,19,18,5,8,Sydney,0,0
1667,2012,14,Round 14,2012-07-01 13:10:00,2012-07-01 13:10:00,GMHBA Stadium,Geelong,Port Adelaide,99,61,14,15,8,13,Geelong,0,0
1668,2012,14,Round 14,2012-07-01 15:15:00,2012-07-01 15:15:00,Gabba,Brisbane Lions,Melbourne,122,61,18,14,8,13,Brisbane Lions,0,0
1669,2012,14,Round 14,2012-07-01 16:40:00,2012-07-01 16:40:00,Docklands,St Kilda,North Melbourne,103,136,15,13,21,10,North Melbourne,0,0
1670,2012,15,Round 15,2012-07-06 19:50:00,2012-07-06 19:50:00,M.C.G.,Collingwood,Carlton,62,85,8,14,12,13,Carlton,0,0
1671,2012,15,Round 15,2012-07-07 13:45:00,2012-07-07 13:45:00,Bellerive Oval,North Melbourne,West Coast,84,86,13,6,12,14,West Coast,0,0
1672,2012,15,Round 15,2012-07-07 14:10:00,2012-07-07 14:10:00,M.C.G.,Melbourne,Richmond,78,101,11,12,13,23,Richmond,0,0
1673,2012,15,Round 15,2012-07-07 16:40:00,2012-07-07 16:40:00,S.C.G.,Sydney,Brisbane Lions,110,63,16,14,9,9,Sydney,0,0
1689,2012,15,Round 15,2012-07-07 19:40:00,2012-07-07 19:10:00,Football Park,Port Adelaide,Adelaide,58,116,8,10,17,14,Adelaide,0,0
1674,2012,15,Round 15,2012-07-07 19:40:00,2012-07-07 19:40:00,Docklands,St Kilda,Essendon,133,62,21,7,8,14,St Kilda,0,0
1690,2012,15,Round 15,2012-07-08 13:10:00,2012-07-08 13:10:00,M.C.G.,Hawthorn,Greater Western Sydney,193,31,28,25,4,7,Hawthorn,0,0
1691,2012,15,Round 15,2012-07-08 15:15:00,2012-07-08 15:15:00,Carrara,Gold Coast,Geelong,96,110,13,18,15,20,Geelong,0,0
1692,2012,15,Round 15,2012-07-08 16:40:00,2012-07-08 14:40:00,Subiaco,Fremantle,Western Bulldogs,95,57,14,11,8,9,Fremantle,0,0
1693,2012,16,Round 16,2012-07-13 19:50:00,2012-07-13 19:50:00,Docklands,North Melbourne,Carlton,149,96,24,5,14,12,North Melbourne,0,0
1694,2012,16,Round 16,2012-07-14 13:45:00,2012-07-14 13:45:00,Docklands,Melbourne,Fremantle,83,117,12,11,18,9,Fremantle,0,0
1697,2012,16,Round 16,2012-07-14 14:10:00,2012-07-14 13:40:00,Football Park,Port Adelaide,Essendon,77,127,11,11,19,13,Essendon,0,0
1698,2012,16,Round 16,2012-07-14 16:40:00,2012-07-14 16:40:00,Cazaly's Stadium,Richmond,Gold Coast,88,90,13,10,13,12,Gold Coast,0,0
1700,2012,16,Round 16,2012-07-14 19:40:00,2012-07-14 19:40:00,Gabba,Brisbane Lions,St Kilda,92,105,14,8,16,9,St Kilda,0,0
1699,2012,16,Round 16,2012-07-14 19:40:00,2012-07-14 19:40:00,M.C.G.,Geelong,Collingwood,79,110,10,19,17,8,Collingwood,0,0
1701,2012,16,Round 16,2012-07-15 13:10:00,2012-07-15 13:10:00,Sydney Showground,Greater Western Sydney,Adelaide,59,178,8,11,27,16,Adelaide,0,0
1702,2012,16,Round 16,2012-07-15 15:15:00,2012-07-15 15:15:00,Docklands,Western Bulldogs,Hawthorn,44,116,6,8,17,14,Hawthorn,0,0
1703,2012,16,Round 16,2012-07-15 16:40:00,2012-07-15 14:40:00,Subiaco,West Coast,Sydney,69,121,10,9,18,13,Sydney,0,0
1704,2012,17,Round 17,2012-07-20 19:50:00,2012-07-20 19:50:00,Docklands,Geelong,Essendon,134,67,20,14,10,7,Geelong,0,0
1705,2012,17,Round 17,2012-07-21 13:45:00,2012-07-21 13:45:00,M.C.G.,Collingwood,Hawthorn,91,138,13,13,21,12,Hawthorn,0,0
